tydzien,dzien,typ_dnia,posilek,godzina,id_przepisu,nazwa,kcal,bialko_g,uwagi
"1","Poniedziałek","trening A (17:30)","śniadanie","07:30","R01","Jaglanka bananowa z masłem orzechowym","560","32","Kasza z niedzielnego meal prepu — tylko podgrzać."
"1","Poniedziałek","trening A (17:30)","II śniadanie","10:30","R20","Serek wiejski z marchewką i ogórkiem","256","26",""
"1","Poniedziałek","trening A (17:30)","obiad","13:30","R07","Kurczak z ryżem i brokułem","573","52","Meal prep (porcja 1/3). Spacer 10-15 min po."
"1","Poniedziałek","trening A (17:30)","przedtreningowa","16:15","R19","Wafle ryżowe z masłem orzechowym i bananem","264","7","60-75 min przed treningiem."
"1","Poniedziałek","trening A (17:30)","kolacja","19:00","R14","Tortilla z kurczakiem i sosem koperkowym","463","44","Kurczak z meal prepu. Ostatni posiłek — do snu (23:00) 4 h."
"1","Poniedziałek","trening A (17:30)","SUMA","-","-","-","2116","161","Cel: 2150 kcal / 170 g. OK (dzień treningowy)."
"1","Wtorek","odpoczynek + spacer","śniadanie","07:30","R03","Miska skyru z bananem, borówkami i migdałami","458","35","Można złożyć wieczorem w słoiku."
"1","Wtorek","odpoczynek + spacer","II śniadanie","10:30","R18","Twaróg z bananem i cynamonem","307","29",""
"1","Wtorek","odpoczynek + spacer","obiad","13:30","R08","Indyk z kaszą jaglaną i cukinią","528","50","Meal prep (porcja 1/3)."
"1","Wtorek","odpoczynek + spacer","przekąska","16:30","R17","Jogurt z gruszką i orzechami włoskimi","304","12",""
"1","Wtorek","odpoczynek + spacer","kolacja","19:00","R12","Krem z dyni z kurczakiem","556","48","Porcja 1/2 — druga na czwartek."
"1","Wtorek","odpoczynek + spacer","SUMA","-","-","-","2153","174","OK."
"1","Środa","trening B (17:30)","śniadanie","07:30","R02","Omlet ze szpinakiem i pieczywem żytnim","480","36",""
"1","Środa","trening B (17:30)","II śniadanie","10:30","R20","Serek wiejski z marchewką i ogórkiem","256","26",""
"1","Środa","trening B (17:30)","obiad","13:30","R07","Kurczak z ryżem i brokułem","573","52","Meal prep (porcja 2/3)."
"1","Środa","trening B (17:30)","przedtreningowa","16:15","R19","Wafle ryżowe z masłem orzechowym i bananem","264","7",""
"1","Środa","trening B (17:30)","kolacja","19:00","R09","Dorsz z ziemniakami i fasolką","528","46","Świeża ryba — kup w drodze z pracy lub użyj mrożonej. Najlżejsza kolacja."
"1","Środa","trening B (17:30)","SUMA","-","-","-","2101","167","OK."
"1","Czwartek","odpoczynek + spacer","śniadanie","07:30","R04","Kanapki z twarożkiem, ogórkiem i koperkiem","464","35",""
"1","Czwartek","odpoczynek + spacer","II śniadanie","10:30","R18","Twaróg z bananem i cynamonem","307","29",""
"1","Czwartek","odpoczynek + spacer","obiad","13:30","R08","Indyk z kaszą jaglaną i cukinią","528","50","Meal prep (porcja 2/3)."
"1","Czwartek","odpoczynek + spacer","przekąska","16:30","R20","Serek wiejski z marchewką i ogórkiem","256","26",""
"1","Czwartek","odpoczynek + spacer","kolacja","19:00","R12","Krem z dyni z kurczakiem","556","48","Porcja 2/2."
"1","Czwartek","odpoczynek + spacer","SUMA","-","-","-","2111","188","OK — białko wysoko, kcal w celu."
"1","Piątek","trening C (17:30)","śniadanie","07:30","R05","Placki bananowo-białkowe z jogurtem","497","40","Piątek = wolniejszy poranek na placki. Lub R01."
"1","Piątek","trening C (17:30)","II śniadanie","10:30","R20","Serek wiejski z marchewką i ogórkiem","256","26",""
"1","Piątek","trening C (17:30)","obiad","13:30","R07","Kurczak z ryżem i brokułem","573","52","Meal prep (porcja 3/3)."
"1","Piątek","trening C (17:30)","przedtreningowa","16:15","R19","Wafle ryżowe z masłem orzechowym i bananem","264","7",""
"1","Piątek","trening C (17:30)","kolacja","19:00","R10","Łosoś z batatami i szpinakiem","577","37","Tłustsza ryba — zjedz do 19:30, spacer po."
"1","Piątek","trening C (17:30)","SUMA","-","-","-","2167","162","OK."
"1","Sobota","długi spacer / elastyczny","śniadanie","08:30","R03","Miska skyru z bananem, borówkami i migdałami","458","35",""
"1","Sobota","długi spacer / elastyczny","II śniadanie","11:30","R17","Jogurt z gruszką i orzechami włoskimi","304","12",""
"1","Sobota","długi spacer / elastyczny","obiad","14:00","R11","Stir-fry z kurczakiem, warzywami i imbirem","557","50","Gotowane na świeżo — 20 min, przyjemne gotowanie weekendowe."
"1","Sobota","długi spacer / elastyczny","przekąska","17:00","R18","Twaróg z bananem i cynamonem","307","29",""
"1","Sobota","długi spacer / elastyczny","kolacja","19:30","R16","Sałatka z komosą, kurczakiem i awokado","595","48","Dzień 80/20: jeśli wyjście — zamień kolację na posiłek 'na mieście' ok. 600 kcal (chude mięso/ryba + węgle + warzywa, bez smażonego)."
"1","Sobota","długi spacer / elastyczny","SUMA","-","-","-","2221","174","OK."
"1","Niedziela","odpoczynek + meal prep (R07, R08, kasza jaglana, R13 opcjonalnie)","śniadanie","08:30","R02","Omlet ze szpinakiem i pieczywem żytnim","480","36",""
"1","Niedziela","odpoczynek + meal prep (R07, R08, kasza jaglana, R13 opcjonalnie)","II śniadanie","11:30","R20","Serek wiejski z marchewką i ogórkiem","256","26",""
"1","Niedziela","odpoczynek + meal prep (R07, R08, kasza jaglana, R13 opcjonalnie)","obiad","14:00","R13","Wołowina duszona z kaszą gryczaną","561","46","Porcja 1/3 — reszta na pon/wt kolejnego tygodnia zamiast R07."
"1","Niedziela","odpoczynek + meal prep (R07, R08, kasza jaglana, R13 opcjonalnie)","przekąska","17:00","R17","Jogurt z gruszką i orzechami włoskimi","304","12",""
"1","Niedziela","odpoczynek + meal prep (R07, R08, kasza jaglana, R13 opcjonalnie)","kolacja","19:30","R18","Twaróg z bananem i cynamonem","307","29","Lżejsza kolacja przed poniedziałkiem."
"1","Niedziela","odpoczynek + meal prep (R07, R08, kasza jaglana, R13 opcjonalnie)","SUMA","-","-","-","1908","149","Celowo niżej (mniej aktywności). Jeśli głód — dodaj R21 lub R20 (+200-250 kcal)."
"1","ŚREDNIA TYGODNIA","-","-","-","-","-","2111","168","Cel 2150 / 170. Tygodniowa średnia jest tym, co się liczy — nie pojedynczy dzień."
"ZASADY","Wymiana posiłków","-","-","-","-","-","-","-","Wymieniaj tylko w obrębie typu_posilku i +/- 100 kcal. Śniadania: R01-R05 zamienne. Obiady: R07-R16 zamienne. Przekąski: R17-R20 zamienne."
"ZASADY","Godziny","-","-","-","-","-","-","-","Odstępy 2.5-3.5 h. Ostatni posiłek min. 3 h przed snem. W dni treningowe przedtreningowa 60-90 min przed, kolacja do 60 min po."
"ZASADY","Głód","-","-","-","-","-","-","-","Głód między posiłkami 1-2 razy w tygodniu = normalny w deficycie. Codzienny silny głód = dodaj 100 kcal z warzyw/ziemniaków/owocu, nie zabieraj białka."
"ZASADY","Refluks","-","-","-","-","-","-","-","Jeśli po posiłku refluks 2-3/3 w dzienniku → zapisz, który. Po 2 tygodniach zobaczysz wzór (najczęściej: nabiał, pieczywo, zbyt duża porcja, za późno)."
