id,nazwa,slowa_kluczowe,domyslnie,powod
"P01","Wołowina","wołowin","tak","Długie gotowanie, drogo. Kurczak/indyk robią tę samą robotę."
"P02","Odżywka białkowa","odżywk","tak","Bez niej też da się zjeść 150+ g białka — twaróg, skyr, jajka, kurczak."
"P03","Białko jaja płynne","białko jaja;białka jaja","tak","Zwykłe jajka wystarczą."
"P04","Komosa ryżowa (quinoa)","komos;quinoa","tak","Ryż i ziemniaki są prostsze i tańsze."
"P05","Kasza jaglana","kasza jaglana;kaszę jaglaną;jaglank","tak","Zamiast tego: ryż, ziemniaki, pieczywo żytnie."
"P06","Kasza gryczana","kasza gryczana;gryczan","tak","Zamiast tego: ziemniaki lub ryż."
"P07","Łosoś","łoso","nie","Jeśli nie lubisz tłustej ryby — dorsz albo omega-3 z kapsułki."
"P08","Ryby (wszystkie)","dorsz;łoso;mintaj;pstrąg;morszczuk","nie",""
"P09","Nabiał","twar;skyr;jogurt;serek;parmezan;mleko;kefir","nie","Jeśli nasila refluks — testuj po 2 tyg. bez."
"P10","Tofu","tofu","nie",""
"P11","Awokado","awokado","nie",""
"P12","Orzechy i masło orzechowe","orzech;migdał;masło orzechowe","nie",""
"P13","Pieczywo","chleb;tortill","nie","Jeśli wzdyma — zamień na ryż/ziemniaki."
