id,nazwa,kategoria,kcal_100g,bialko_g,tluszcz_g,wegle_g,blonnik_g,refluks,dlaczego_w_diecie_lub_uwagi
"ING01","Pierś z kurczaka (surowa, bez skóry)","białko","110","23","1.5","0","0","bezpieczny","Podstawa białka: chude, lekkostrawne, tanie. Piecz/duś/gotuj na parze, nie smaż głęboko."
"ING02","Pierś z indyka (surowa) / mielony indyk","białko","105","23","1","0","0","bezpieczny","Zamiennik kurczaka. Mielony indyk = szybkie one-pan dania."
"ING03","Dorsz (surowy)","białko","82","18","0.7","0","0","bezpieczny","Najlżejsza ryba — idealna na refluks. Piecz w folii/papierze."
"ING04","Łosoś (surowy)","białko","208","20","13","0","0","umiar","Omega-3 (EPA/DHA) — przeciwzapalne, serce, mózg. Tłusty → porcja 120-150 g, nie na kolację przed snem."
"ING05","Wołowina chuda (ligawa, polędwica, udziec)","białko","130","21","4.5","0","0","umiar","Żelazo, kreatyna, B12. Duszona długo = miękka i lekkostrawna. 1x w tygodniu."
"ING06","Jajko całe (1 szt. ok. 55 g)","białko","143","12.5","10","1","0","bezpieczny","Kompletne białko, cholina. Na miękko/omlet/jajecznica na małym ogniu. Smażone na dużym tłuszczu = gorzej na refluks."
"ING07","Białko jaja (płynne lub oddzielone)","białko","52","11","0.2","0.7","0","bezpieczny","Dobija białko w omlecie bez tłuszczu."
"ING08","Twaróg półtłusty","białko / nabiał","133","18","4.5","3.5","0","umiar","Kazeina — wolno trawiona, dobra na kolację (sytość na noc). U części osób nabiał nasila refluks — obserwuj."
"ING09","Skyr naturalny","białko / nabiał","63","11","0.2","4","0","umiar","Najwięcej białka na kalorię z nabiału. Neutralny smak."
"ING10","Jogurt naturalny 2%","nabiał","60","4.5","2","5","0","umiar","Baza sosów zamiast majonezu/śmietany. Probiotyki."
"ING11","Jogurt grecki 2%","nabiał","73","8","2","5","0","umiar","Gęstszy, do sosów na ciepło."
"ING12","Serek wiejski","białko / nabiał","100","12","4","3","0","umiar","Szybka przekąska białkowa bez gotowania."
"ING13","Kefir","nabiał","55","3.5","2","4.5","0","umiar","Fermentowany — mikrobiom. Lekko kwaśny: test w małej ilości."
"ING14","Parmezan","nabiał","400","35","28","0","0","umiar","10 g wystarcza na smak."
"ING15","Odżywka białkowa serwatkowa (WPC/WPI)","białko","380","78","5","6","0","bezpieczny","To jedzenie, nie 'suplement': skoncentrowane białko z mleka. Do szejków, jaglanki, placków. Izolat (WPI) ma mniej laktozy."
