plik,opis,kolumny_kluczowe,jak_uzywac,jak_rozszerzac
"00_indeks.csv","Spis wszystkich plików i ich przeznaczenia (ten plik).","plik, opis","Zacznij tutaj. Każdy plik ma numer w nazwie = kolejność czytania.","Dodaj wiersz przy każdym nowym pliku."
"01_profil_i_cele.csv","Twoje dane startowe, obliczone zapotrzebowanie (kalorie, białko, tłuszcz, węgle) i cele liczbowe.","parametr, wartosc, jak_obliczono_lub_zrodlo","Odczytaj cel_kcal i bialko — to dwie najważniejsze liczby. Aktualizuj wagę co 2-3 tygodnie i przelicz.","Dodaj nowe parametry jako wiersze (np. HRV, tętno spoczynkowe, badania krwi)."
"02_slownik.csv","Wszystkie trudniejsze słowa (RIR, hip hinge, deficyt, NEAT...) wytłumaczone prosto.","termin, wyjasnienie_prosto","Jeśli czegoś nie rozumiesz w innych plikach — szukaj tutaj.","Dodaj termin gdy pojawi się nowy w innym pliku."
"03_cwiczenia.csv","Biblioteka ćwiczeń: jak wykonać krok po kroku, błędy, uwagi na biodro/kręgosłup, wersje łatwiejsze i trudniejsze.","id (EX..), nazwa, jak_wykonac","Plan treningowy (04) i rutyny (05) odwołują się do id. Czytaj opis przed pierwszym wykonaniem.","Dodaj ćwiczenie z nowym id EXnn. Nie zmieniaj istniejących id (inne pliki na nich bazują)."
"04_plan_treningowy.csv","Tygodniowy plan siłowy 3x/tyg (sesje A/B/C) z seriami, powtórzeniami, RIR, przerwami i zasadą progresji.","dzien, sesja, id_cwiczenia, serie, powtorzenia_lub_czas, RIR","Wykonuj w kolejności wierszy. Zapisuj ciężar/powtórzenia w 11_dziennik.csv.","Nowa faza = nowe wiersze z inną wartością w kolumnie faza. Stare zostaw jako historię."
"05_rutyny_dzienne.csv","Krótkie rutyny: rano (5 min), przerwy biurowe (2 min), wieczór zamiast rolowania (8-10 min).","rutyna, kolejnosc, id_cwiczenia, ilosc","Wieczorna rutyna ma docelowo zastąpić codzienne rolowanie. Rolowanie zostaje jako opcja, nie obowiązek.","Dodaj nową rutynę jako grupę wierszy z tą samą nazwą w kolumnie rutyna."
"06_skladniki.csv","Baza produktów: makro na 100 g, status pod refluks (bezpieczny / umiar / unikaj) i po co jest w diecie.","id (ING..), nazwa, kcal_100g, refluks","Kupuj głównie z kolumny refluks = bezpieczny. Umiar = małe porcje, obserwuj reakcję.","Dodaj produkt z nowym id INGnn. Wartości makro można podmienić na dane z etykiety."
"07_przepisy.csv","Przepisy: czas, składniki z gramaturą, przygotowanie krok po kroku, makro na porcję, czy nadaje się do gotowania na zapas.","id (R..), nazwa, typ_posilku, czas_min, kcal_porcja, bialko_g","Kroki przygotowania oddzielone znakiem |. Skladniki oddzielone ;.","Dodaj przepis z nowym id Rnn. Makro policz z 06_skladniki.csv."
"08_plan_posilkow_tydzien.csv","Przykładowy tydzień jedzenia złożony z przepisów (07) dopasowany do cel_kcal i białka.","dzien, posilek, godzina, id_przepisu, kcal, bialko_g","Traktuj jako szablon — wymieniaj przepisy tego samego typu_posilku o podobnych kcal.","Dodaj kolejne tygodnie (kolumna tydzien) i wymieniaj przepisy."
"09_zasady_i_nawyki.csv","Reguły dnia: refluks, sen, kroki, białko, jak reagować na ból, kiedy zmieniać kalorie.","kategoria, zasada, dlaczego_prosto, priorytet","Wdrażaj max 2-3 nawyki tygodniowo, zaczynając od priorytet = 1.","Dodaj wiersz gdy odkryjesz co działa u Ciebie."
"10_suplementy.csv","Tylko suplementy z twardymi dowodami + dawki + uwagi pod refluks.","nazwa, dawka, poziom_dowodow","Kolejność wg priorytetu. Reszta rynku suplementów = zbędna na tym etapie.","Dodaj wiersz tylko jeśli ma solidne badania (metaanalizy, stanowisko ISSN)."
"11_dziennik.csv","Szablon dziennego monitoringu: waga, pas, sen, energia, refluks, spięcie pośladków, rolowanie, trening, kroki.","data, waga_kg, obwod_pasa_cm, refluks_0_3, spiete_posladki_0_3, rolowanie","Wypełniaj codziennie rano (waga, sen) i wieczorem (reszta). Patrz na średnie tygodniowe, nie na pojedyncze dni.","Dodawaj kolumny na końcu (np. HRV, nastrój). Nie usuwaj istniejących — łatwiej analizować historię."
"12_lista_zakupow_tydzien.csv","Zapas do szafki i sprzęt — rzeczy kupowane raz na kilka tygodni. Tygodniowa lista zakupów jest generowana w aplikacji z Twojego planu posiłków.","kategoria, produkt, ilosc","Sprawdź raz na miesiąc, czy czegoś nie brakuje.","Dodaj wiersz gdy pojawi się nowy stały produkt."
"13_preferencje.csv","Czego nie jesz / nie kupujesz — słowa kluczowe wykluczające przepisy. Aplikacja ukrywa takie przepisy i podmienia je w planie na podobne.","id (P..), nazwa, slowa_kluczowe, domyslnie","W aplikacji włączasz/wyłączasz jednym tapnięciem; tu są wartości domyślne.","Dodaj wiersz Pnn ze słowami kluczowymi rozdzielonymi ; (dopasowanie po fragmencie słowa)."
"FORMAT","Wszystkie pliki: kodowanie UTF-8, separator przecinek, pola tekstowe w cudzysłowach. Kroki/listy wewnątrz pola oddzielone | lub ;.","","W Excelu (polska wersja) użyj: Dane > Z tekstu/CSV > separator: przecinek. W Google Sheets / Numbers otwiera się od razu.","Identyfikatory (EX, ING, R, Z, S) to klucze — w przyszłej aplikacji mogą być kluczami głównymi tabel."
