id,nazwa,nazwa_ang,kategoria,glowne_miesnie,sprzet,poziom,jak_wykonac,najczestsze_bledy,uwagi_biodro_kregoslup,dlaczego_w_planie,wersja_latwiejsza,wersja_trudniejsza
"EX01","Koci grzbiet","Cat-Cow","rozgrzewka","kręgosłup, core","mata","1","Klęk podparty, dłonie pod barkami, kolana pod biodrami | Wydech: zaokrąglij plecy jak kot, głowa w dół | Wdech: wygnij plecy w drugą stronę, spójrz lekko w przód | Ruch wolny, 3-4 s na każdą stronę","Za szybko; ruch tylko w szyi zamiast w całym kręgosłupie","Idealne 'smarowanie' kręgosłupa po nocy i po siedzeniu. Ruch bez obciążenia — bezpieczny.","Rozgrzewa kręgosłup, uczy czuć jego ruch.","Mniejszy zakres","Dodaj 2 s zatrzymania w każdej pozycji"
"EX02","Przejścia bioder 90/90","90/90 Hip Switch","mobilnosc","biodra (rotacja), pośladki","mata","1","Siad, obie nogi zgięte pod kątem 90 stopni: jedna z przodu, druga z boku | Plecy proste, dłonie mogą podpierać z tyłu | Powoli przenieś kolana na drugą stronę, tak by nogi zamieniły się rolami | Zatrzymaj 2 s, wróć","Zaokrąglanie pleców; forsowanie zakresu przez ból","Na prawe biodro: idź tylko do granicy komfortu, ból ostry = zmniejsz zakres. To ćwiczenie bezpośrednio adresuje sztywność bioder.","Rotacja bioder to zakres, którego najbardziej brakuje po siedzeniu. Sztywne biodro 'wypycha' pracę do dolnych pleców.","Podpieraj się rękami, mniejszy zakres","Bez podparcia rąk, unieś kolana wyżej"
"EX03","Największe rozciąganie świata","World's Greatest Stretch","rozgrzewka","zginacze bioder, klatka piersiowa, kręgosłup piersiowy","mata","2","Z pozycji wykroku (prawa noga z przodu) połóż obie dłonie po wewnętrznej stronie prawej stopy | Lewy łokieć opuść w kierunku podłogi przy stopie | Otwórz prawą rękę do góry, skręcając klatkę, spójrz za dłonią | Wróć, zmień stronę","Kolano z tyłu za mocno zgięte; skręt tylko szyją","Rozciąga biodro i otwiera klatkę — dwa miejsca 'zamknięte' od siedzenia.","Jedno ćwiczenie = biodra + plecy + klatka. Najlepszy stosunek efektu do czasu w rozgrzewce.","Tylne kolano oparte o podłogę","Zatrzymaj skręt 3 s"
"EX04","Mostek biodrowy","Glute Bridge","sila","pośladki, tył uda","mata","1","Leż na plecach, kolana zgięte, stopy płasko na szerokość bioder, ok. 20-30 cm od pośladków | Wciśnij pięty w podłogę i unieś biodra aż ciało tworzy linię od kolan do barków | Na górze ściśnij pośladki 1-2 s | Powoli opuść","Wypychanie bioder za wysoko (wygięte plecy zamiast pośladków); praca dolnych pleców zamiast pośladków — wtedy lekko podciągnij brodę i 'schowaj' żebra","Zero obciążenia kręgosłupa. Aktywuje pośladki, których słabość jest najczęstszą przyczyną spięć i bólu dolnych pleców/bioder.","Fundament — uczy 'włączać' pośladki przed każdym treningiem i wieczorem zamiast rolowania.","Mniejszy zakres","Hantel na biodrach (EX18) lub wersja jednonóż (EX23)"
"EX05","Martwy robak","Dead Bug","core","brzuch głęboki (poprzeczny), core","mata","1","Leż na plecach, ręce pionowo w górę, kolana zgięte 90 stopni nad biodrami | Dociśnij dolne plecy do podłogi (żebra w dół) | Powoli opuść prawą rękę za głowę i lewą nogę ku podłodze, nie dotykając | Wróć, zmień stronę. Oddychaj spokojnie","Odrywanie dolnych pleców od podłogi; wstrzymywanie oddechu; za szybko","Najbezpieczniejsze ćwiczenie core dla kręgosłupa — plecy leżą stabilnie na podłodze.","Uczy trzymać kręgosłup stabilnie przy ruchu kończyn — dokładnie to, co dzieje się w przysiadzie i RDL.","Tylko nogi albo tylko ręce","Wyprostowane nogi; hantel 2-4 kg w dłoniach"
"EX06","Ptak-pies","Bird Dog","core","core, pośladki, dolne plecy (stabilizacja)","mata","1","Klęk podparty | Napnij lekko brzuch | Wyprostuj prawą rękę w przód i lewą nogę w tył, do linii tułowia (nie wyżej) | Zatrzymaj 2 s, wróć powoli, zmień stronę","Unoszenie nogi za wysoko (wygięcie pleców); przechylanie miednicy na bok","Buduje kontrolę kręgosłupa i biodra pod kątem 'antyrotacji'. Bez obciążenia osiowego.","Wzmacnia głębokie mięśnie kręgosłupa i pośladek w funkcji stabilizacji.","Tylko ręka albo tylko noga","Zatrzymanie 5 s; kolano podpierające unieś 2 cm nad podłogę"
"EX07","Rozciąganie zginaczy bioder w klęku","Kneeling Hip Flexor Stretch","mobilnosc","zginacze bioder (biodrowo-lędźwiowy, prosty uda)","mata, poduszka pod kolano","1","Klęk na jednym kolanie (na poduszce), druga stopa z przodu | Napnij pośladek nogi klęczącej i lekko 'podwiń' miednicę (ogon pod siebie) | Przesuń biodra minimalnie w przód aż poczujesz ciągnięcie z przodu biodra nogi klęczącej | Trzymaj 45-60 s, oddychaj przeponą | Zmień stronę","Wypychanie bioder daleko w przód z wygiętymi plecami (rozciągasz wtedy plecy, nie biodro); brak napięcia pośladka","Kluczowe na Twój problem: skrócone zginacze ciągną miednicę w przód, pośladki się 'bronią' napięciem. Wydłużenie zginaczy = mniej napięcia pośladków.","To razem z mostkami ma zastąpić codzienne rolowanie.","Mniejsze wysunięcie bioder","Tylna stopa oparta o kanapę (couch stretch) — tylko gdy bez bólu w kolanie/biodrze"
"EX08","Figura 4 leżąc","Supine Figure-4 Stretch","mobilnosc","pośladki (zwłaszcza gruszkowaty), biodro","mata","1","Leż na plecach, kolana zgięte | Połóż prawą kostkę na lewym kolanie (kształt cyfry 4) | Chwyć lewe udo lub kolano i przyciągnij do klatki aż poczujesz rozciąganie prawego pośladka | Trzymaj 45-60 s, oddychaj wolno | Zmień stronę","Unoszenie głowy i barków; szarpanie","Bezpieczny odpowiednik 'rolowania pośladków' — daje ten sam efekt rozluźnienia, ale w pozycji odciążonej dla kręgosłupa.","Bezpośrednio rozluźnia spięte pośladki wieczorem.","Stopa oparta o ścianę zamiast przyciągania","Odsuń lekko kolano zgiętej nogi na zewnątrz dłonią"
"EX09","Pozycja dziecka z oddechem","Child's Pose + Breathing","regeneracja","dolne plecy, biodra, układ nerwowy","mata","1","Klęk, pośladki na piętach, kolana lekko rozstawione | Połóż tułów na udach, ręce wyciągnięte w przód lub wzdłuż ciała | Oddychaj nosem do brzucha: wdech 4 s, wydech 6-8 s | 8-10 oddechów","Płytki oddech do klatki; spinanie barków","Delikatne wydłużenie dolnych pleców. Jeśli biodro nie lubi głębokiego zgięcia — rozstaw kolana szerzej lub podłóż poduszkę.","Długi wydech włącza tryb 'odpocznij i traw' — mięśnie się rozluźniają, bo mózg przestaje je trzymać w gotowości. To dlatego rolowanie 'działa' — ale oddech działa lepiej i na dłużej.","Poduszka między pośladkami i piętami","Ręce przesuń w bok (rozciąganie boku tułowia)"
"EX10","Małż","Clamshell","sila","pośladkowy średni, rotatory biodra","mata, opcjonalnie guma","1","Leż na boku, biodra i kolana zgięte ok. 45 stopni, stopy razem, głowa na ręce | Dłoń drugiej ręki na biodrze — biodro nie może się przekręcać do tyłu | Unieś górne kolano jak otwierająca się muszla, stopy razem | Zatrzymaj 1 s na górze, powoli opuść","Przekręcanie miednicy do tyłu (wtedy pracuje dolny odcinek pleców, nie pośladek); za duży zakres","Wzmacnia mięsień, który stabilizuje biodro — słaby pośladkowy średni to bardzo częsta przyczyna bólu biodra i pleców u osób siedzących.","Mały ruch, duży efekt. Powinno 'palić' z boku pośladka po 12-15 powt.","Mniejszy zakres","Guma nad kolanami; 3 s zatrzymanie"
