faza,dzien,sesja,kolejnosc,blok,id_cwiczenia,nazwa,serie,powtorzenia_lub_czas,RIR,przerwa_s,tempo,uwagi,progresja
"Blok 1 (tyg 1-6)","Poniedziałek","A","1","rozgrzewka","EX01","Koci grzbiet","1","8 powt.","-","0","wolno","Rozgrzewka całości: ok. 6-7 min. Sprawdź jak dziś czuje się biodro.","-"
"Blok 1 (tyg 1-6)","Poniedziałek","A","2","rozgrzewka","EX02","Przejścia bioder 90/90","1","6 na stronę","-","0","wolno","","-"
"Blok 1 (tyg 1-6)","Poniedziałek","A","3","rozgrzewka","EX04","Mostek biodrowy","1","12 powt.","-","0","1 s pauza na górze","'Włącz' pośladki przed ciężarami.","-"
"Blok 1 (tyg 1-6)","Poniedziałek","A","4","rozgrzewka","EX03","Największe rozciąganie świata","1","4 na stronę","-","0","wolno","","-"
"Blok 1 (tyg 1-6)","Poniedziałek","A","5","rozgrzewka","EX12","Przysiad bez obciążenia","1","10 powt.","-","60","kontrolowane","Po tym 1 lekka seria goblet squat (50% ciężaru) jako 'seria wprowadzająca'.","-"
"Blok 1 (tyg 1-6)","Poniedziałek","A","6","główne","EX14","Przysiad z hantlem przy klatce","3","8-12","2","90-120","3-1-1","Zakres do komfortu biodra. Ciężar taki, żeby 12. powtórzenie było trudne, ale czyste.","Podwójna progresja: gdy 3x12 z RIR 2 → cięższy hantel, wróć do 8."
"Blok 1 (tyg 1-6)","Poniedziałek","A","7","główne","EX15","Rumuński martwy ciąg z hantlami","3","8-12","2","90-120","3-1-1","Technika ponad ciężar. Czuj tył uda i pośladki, nie plecy.","Podwójna progresja. Gdy zabraknie ciężaru → tempo 4-1-1 lub EX26."
"Blok 1 (tyg 1-6)","Poniedziałek","A","8","główne","EX16","Wyciskanie hantli na podłodze","3","8-12","2","90","2-1-1","","Podwójna progresja."
"Blok 1 (tyg 1-6)","Poniedziałek","A","9","główne","EX17","Wiosłowanie hantlem jednorącz","3","10-12 na stronę","2","60-90","2-1-2","Zacznij od słabszej strony.","Podwójna progresja; potem pauza 2 s na górze."
"Blok 1 (tyg 1-6)","Poniedziałek","A","10","dodatkowe","EX18","Hip thrust z hantlem","3","12-15","1-2","60","1-2-1","Pauza 2 s na górze ze ściśniętymi pośladkami. Tu możesz iść bliżej zmęczenia — bezpieczne.","Cięższy hantel gdy 3x15 lekko."
"Blok 1 (tyg 1-6)","Poniedziałek","A","11","core","EX05","Martwy robak","3","8 na stronę","-","45","wolno","","Wyprostowane nogi; hantel w dłoniach."
"Blok 1 (tyg 1-6)","Poniedziałek","A","12","core","EX33","Deska boczna","2","20-40 s na stronę","-","30","statycznie","Koniec sesji A. Czas całości: 45-55 min.","+5 s tygodniowo do 45 s, potem uniesiona noga."
"Blok 1 (tyg 1-6)","Wtorek","odpoczynek","1","aktywny","EX34","Szybki spacer","1","30-45 min","-","-","-","+ rutyny z pliku 05 (rano, biuro, wieczór). Bez treningu siłowego.","-"
"Blok 1 (tyg 1-6)","Środa","B","1","rozgrzewka","EX01","Koci grzbiet","1","8 powt.","-","0","wolno","","-"
"Blok 1 (tyg 1-6)","Środa","B","2","rozgrzewka","EX13","Ślizgi po ścianie","1","10 powt.","-","0","wolno","Barki przed wyciskaniem nad głowę.","-"
"Blok 1 (tyg 1-6)","Środa","B","3","rozgrzewka","EX07","Rozciąganie zginaczy bioder w klęku","1","30 s na stronę","-","0","-","Krótsze niż wieczorem — tylko 'otwarcie'.","-"
"Blok 1 (tyg 1-6)","Środa","B","4","rozgrzewka","EX10","Małż","1","12 na stronę","-","0","-","Aktywacja pośladkowego średniego przed wykrokami.","-"
"Blok 1 (tyg 1-6)","Środa","B","5","rozgrzewka","EX19","Wykrok w tył (bez ciężaru)","1","6 na nogę","-","60","kontrolowane","Seria wprowadzająca.","-"
"Blok 1 (tyg 1-6)","Środa","B","6","główne","EX19","Wykrok w tył","3","8-10 na nogę","2","90","2-1-1","Zacznij od strony prawego biodra. Ta sama liczba na obie nogi.","Podwójna progresja; potem cięższe hantle."
"Blok 1 (tyg 1-6)","Środa","B","7","główne","EX20","Wyciskanie hantli nad głowę","3","8-12","2","90","2-1-1","Siedząc z oparciem, jeśli plecy chcą się wyginać.","Podwójna progresja."
"Blok 1 (tyg 1-6)","Środa","B","8","główne","EX21","Wiosłowanie oburącz w opadzie","3","10-12","2","90","2-1-2","Jeśli dolne plecy męczą się pierwsze → zamień na EX17.","Podwójna progresja."
"Blok 1 (tyg 1-6)","Środa","B","9","główne","EX22","Pompki","3","do RIR 2","2","90","2-0-1","Wersja (podłoga / podwyższenie) taka, żeby wychodziło 8-15 powt.","Gdy 3x15 → niżej podparcie / stopy na podwyższeniu / hantle jako uchwyty."
"Blok 1 (tyg 1-6)","Środa","B","10","dodatkowe","EX23","Mostek biodrowy jednonóż","3","10-12 na nogę","1-2","45-60","1-2-1","Miednica poziomo. Porównuj strony — różnica to informacja, nie problem.","Pauza 3 s; hantel na biodrze."
"Blok 1 (tyg 1-6)","Środa","B","11","core","EX24","Spacer farmera","3","30-40 s","-","60","spokojny krok","Najcięższe hantle jakie masz, technika podniesienia jak RDL.","Dłuższy czas / cięższe."
"Blok 1 (tyg 1-6)","Środa","B","12","core","EX06","Ptak-pies","2","8 na stronę","-","30","2 s pauza","Koniec sesji B.","Pauza 5 s."
"Blok 1 (tyg 1-6)","Czwartek","odpoczynek","1","aktywny","EX34","Szybki spacer","1","30-45 min","-","-","-","+ rutyny z pliku 05.","-"
"Blok 1 (tyg 1-6)","Piątek","C","1","rozgrzewka","EX01","Koci grzbiet","1","8 powt.","-","0","wolno","","-"
"Blok 1 (tyg 1-6)","Piątek","C","2","rozgrzewka","EX02","Przejścia bioder 90/90","1","6 na stronę","-","0","wolno","","-"
"Blok 1 (tyg 1-6)","Piątek","C","3","rozgrzewka","EX11","Odwodzenie nogi leżąc bokiem","1","12 na stronę","-","0","-","","-"
"Blok 1 (tyg 1-6)","Piątek","C","4","rozgrzewka","EX04","Mostek biodrowy","1","12 powt.","-","0","-","","-"
"Blok 1 (tyg 1-6)","Piątek","C","5","rozgrzewka","EX25","Przysiad sumo (bez ciężaru)","1","10 powt.","-","60","kontrolowane","Seria wprowadzająca.","-"
"Blok 1 (tyg 1-6)","Piątek","C","6","główne","EX25","Przysiad sumo z hantlem","3","10-12","2","90","3-1-1","Sprawdź czy szerokie ustawienie jest wygodniejsze dla biodra niż w goblet.","Podwójna progresja."
"Blok 1 (tyg 1-6)","Piątek","C","7","główne","EX26","RDL jednonóż z podparciem","3","8-10 na nogę","2","60-90","3-1-1","Zacznij od strony prawego biodra. Lekki hantel — technika.","Podwójna progresja; potem bez podparcia."
"Blok 1 (tyg 1-6)","Piątek","C","8","główne","EX27","Wiosłowanie w podporze","3","8 na stronę","2","90","2-1-1","Kolana na podłodze jeśli biodra 'kręcą'.","Stopy węziej; cięższe."
"Blok 1 (tyg 1-6)","Piątek","C","9","dodatkowe (superset)","EX28","Uginanie ramion z hantlami","3","10-15","1-2","0 → do EX29","2-0-3","Superset: od razu po tym EX29, potem przerwa 60 s.","Cięższe gdy 3x15."
"Blok 1 (tyg 1-6)","Piątek","C","10","dodatkowe (superset)","EX29","Prostowanie ramion nad głową","3","10-15","1-2","60","2-0-2","","Cięższe gdy 3x15."
"Blok 1 (tyg 1-6)","Piątek","C","11","dodatkowe","EX30","Unoszenie hantli bokiem","3","12-15","1-2","45-60","1-1-3","Lekkie hantle, wolne opuszczanie. Ma 'palić', nie boleć.","Pauza 2 s na górze; potem cięższe."
"Blok 1 (tyg 1-6)","Piątek","C","12","core","EX31","Deska kopenhaska (na krześle)","2","15-25 s na stronę","-","45","statycznie","Krótko. Silny bodziec na przywodziciele.","+5 s tygodniowo do 30 s."
"Blok 1 (tyg 1-6)","Piątek","C","13","core","EX32","Spacer z walizką","2","30 s na stronę","-","45","spokojny krok","Koniec sesji C.","Cięższy hantel."
"Blok 1 (tyg 1-6)","Sobota","odpoczynek","1","aktywny","EX34","Długi spacer","1","45-60 min","-","-","-","Najdłuższy spacer tygodnia. Może być w terenie. + rutyny z pliku 05.","-"
"Blok 1 (tyg 1-6)","Niedziela","odpoczynek","1","regeneracja","-","Meal prep + rutyna wieczorna","-","-","-","-","-","Dzień wolny od struktury. Gotowanie na 3 dni (patrz 07 przepisy, kolumna meal_prep).","-"
"Deload (tydz 7)","Pon / Śr / Pt","A / B / C","-","cały trening","-","Te same ćwiczenia co w Bloku 1","połowa serii (np. 3 → 2, 2 → 1)","dół zakresu","4","jak zwykle","jak zwykle","Ciężar -20%. Rozgrzewka i core bez zmian. Czujesz się 'niedotrenowany' — o to chodzi. Po deloadzie zacznij Blok 2 (te same ćwiczenia, zakres 6-10 powt. na głównych, cięższe hantle) lub wymień 1-2 ćwiczenia na wersje trudniejsze z pliku 03.","-"
"ZASADY","-","-","-","-","-","Ciężar startowy","-","-","-","-","-","Tydzień 1: wybierz hantel, z którym zrobisz górę zakresu z RIR 3-4 (lekko). Tydzień 2: dołóż ciężar/powtórzenia. Od tygodnia 3 pracuj na RIR 2.","-"
"ZASADY","-","-","-","-","-","Ból","-","-","-","-","-","Ból do 3/10, który nie narasta w trakcie i mija po treningu = OK, kontynuuj. Ból >3/10, ostry, w stawie, promieniujący, narastający = zmniejsz zakres i ciężar; jeśli nadal → wymień ćwiczenie na wersję łatwiejszą z pliku 03. Nigdy nie 'przebijaj się' przez ból stawu.","-"
"ZASADY","-","-","-","-","-","Autoregulacja","-","-","-","-","-","Sen <6 h, duży stres, ból: ciężar -10%, serie główne 3 → 2. Lepiej zrobić trening lżejszy niż go pominąć.","-"
"ZASADY","-","-","-","-","-","Gdy brakuje dnia","-","-","-","-","-","2 treningi w tygodniu to nadal 80% efektu. Zrób A i B, w kolejnym tygodniu C i A. Nie nadrabiaj 'podwójnym' treningiem.","-"
"ZASADY","-","-","-","-","-","Gdy brakuje ciężaru hantli","-","-","-","-","-","Kolejność 'dokładania trudności' bez nowego sprzętu: wolniejsze tempo → pauza na dole → wersja jednonóż/jednorącz → więcej powtórzeń (do 15-20) → krótsza przerwa. Dopiero potem kupuj cięższe hantle.","-"
