id,nazwa,typ_posilku,czas_min,trudnosc,porcje,kcal_porcja,bialko_g,tluszcz_g,wegle_g,skladniki,przygotowanie,sprzet,refluks_ok,meal_prep,dlaczego_dobry,zamienniki
"R01","Jaglanka bananowa z masłem orzechowym","śniadanie","15","łatwy","1","560","32","14","82","kasza jaglana sucha 60 g; napój migdałowy 250 ml; banan 120 g; masło orzechowe 15 g; odżywka białkowa 25 g; cynamon 1/2 łyżeczki; szczypta soli","Kaszę przepłucz 2x gorącą wodą (usuwa gorycz) | Zalej napojem migdałowym, dodaj sól, gotuj na małym ogniu pod przykryciem 12-15 min aż wsiąknie, mieszając od czasu do czasu | Zdejmij z ognia, ostudź 2 min, wmieszaj odżywkę (nie na gorącym — zbryli się) | Dodaj pokrojony banan, masło orzechowe, cynamon","garnek","tak","tak — kaszę ugotuj na 3 dni, rano tylko podgrzej z odrobiną napoju","Zamiennik owsianki: ciepłe, sycące, lekkostrawne. Białko + wolne węgle = energia do obiadu bez 'zjazdu'.","Banan → gruszka/pieczone jabłko. Masło orzechowe → 15 g migdałów. Napój migdałowy → mleko 2%."
"R02","Omlet ze szpinakiem i pieczywem żytnim","śniadanie","12","łatwy","1","480","36","21","34","jajka 3 szt.; białko jaja 100 ml (ok. 3 białka); szpinak 50 g; chleb żytni 2 kromki (70 g); oliwa 5 g; sól; koperek lub bazylia","Rozgrzej patelnię na średnim ogniu z oliwą | Wrzuć szpinak, 1 min aż zwiędnie | Roztrzep jajka z białkami i solą, wlej na patelnię | Zmniejsz ogień, przykryj, 4-5 min aż góra się zetnie (bez przypalania spodu) | Złóż na pół, posyp ziołami | Chleb obok lub lekko podgrzany","patelnia z pokrywką","tak","nie (świeży, 12 min)","Duża dawka białka i choliny rano. Mały ogień = jajka delikatne, nie 'gumowe' i lekkie dla żołądka.","Szpinak → cukinia starta. Chleb → 150 g ziemniaków z poprzedniego dnia podsmażonych na tej samej patelni."
"R03","Miska skyru z bananem, borówkami i migdałami","śniadanie","5","bardzo łatwy","1","458","35","14","52","skyr naturalny 250 g; banan 100 g; borówki 80 g; migdały 20 g; nasiona chia 10 g; cynamon","Skyr do miski | Pokrojony banan, borówki | Posiekane migdały, chia, cynamon | Gotowe — możesz przygotować wieczorem w słoiku (chia napęcznieje)","miska / słoik","tak (borówki: małe porcje)","tak — słoik na jutro","Zero gotowania, 35 g białka. Idealne na zabiegane dni.","Borówki → gruszka. Skyr → twaróg półtłusty 200 g zmiksowany z 50 g jogurtu."
"R04","Kanapki z twarożkiem, ogórkiem i koperkiem","śniadanie","8","bardzo łatwy","1","464","35","9","55","twaróg półtłusty 150 g; jogurt naturalny 30 g; chleb żytni 3 kromki (105 g); ogórek 100 g; koperek pęczek mały; rzodkiewka 3 szt.; sól","Twaróg rozgnieć widelcem z jogurtem, solą i posiekanym koperkiem | Nałóż na kromki | Plastry ogórka i rzodkiewki na wierzch","miska, deska","tak (jeśli tolerujesz nabiał i zakwas)","twarożek tak — na 2 dni w lodówce","Polska klasyka w zdrowej wersji. Białko z kazeiny syci długo.","Twaróg → serek wiejski 200 g. Chleb → wafle ryżowe 5 szt."
"R05","Placki bananowo-białkowe z jogurtem","śniadanie","15","łatwy","1","497","40","14","55","jajka 2 szt.; banan 100 g; odżywka białkowa 25 g; mąka ryżowa 30 g; jogurt naturalny 100 g do podania; cynamon; szczypta soli; oliwa 3 g do posmarowania patelni","Banan rozgnieć widelcem na gładko | Dodaj jajka, odżywkę, mąkę, cynamon, sól — wymieszaj (gęste ciasto) | Patelnia na średnio-małym ogniu, lekko natłuszczona | Placki po ok. 2 łyżki, 2-3 min na stronę, przewracaj gdy brzegi się zetną | Podaj z jogurtem","patelnia nieprzywierająca","tak","tak — placki na zimno trzymają 2 dni","Śniadanie 'jak deser', a 40 g białka. Fajnie się je robi w weekend.","Jogurt → skyr 100 g. Mąka ryżowa → mąka gryczana."
"R06","Szejk bananowo-orzechowy","śniadanie lekkie / potreningowy","3","bardzo łatwy","1","381","30","13","41","odżywka białkowa 30 g; banan 120 g; napój migdałowy 300 ml; masło orzechowe 15 g; cynamon; lód opcjonalnie","Wszystko do blendera | 30 s | Pij powoli (nie duszkiem — refluks)","blender","tak","nie","Gdy nie ma czasu lub apetytu po treningu. Płynne = szybko wchłaniane białko.","Bez masła orzechowego (-88 kcal) jako lekki potreningowy. Napój migdałowy → woda + 100 g skyru."
"R07","Kurczak pieczony z ryżem i brokułem (one-pan)","obiad","35 (aktywnie 10)","łatwy","3","573","52","11","69","pierś z kurczaka 540 g (3x180 g); ryż basmati suchy 210 g; brokuł 600 g; oliwa 21 g; kurkuma 1 łyżeczka; tymianek; sól; imbir starty 1 cm opcjonalnie","Piekarnik 200°C | Kurczak: natrzyj oliwą (2/3), solą, kurkumą, tymiankiem, imbirem, ułóż na blasze z papierem | Piecz 20-22 min (do 74°C w środku lub sok przezroczysty) | W tym czasie ryż: przepłucz, gotuj wg opakowania (ok. 12 min) | Brokuł na różyczki, na parze/w garnku 5-6 min — ma być jędrny | Skrop brokuł resztą oliwy, posól | Podziel na 3 pudełka","piekarnik, blacha, garnek","tak","TAK — 3 porcje, 3 dni w lodówce","Wzorcowy obiad redukcyjny: 52 g białka, dużo objętości, mało tłuszczu. Jedno gotowanie = 3 obiady.","Kurczak → indyk. Ryż → ziemniaki pieczone na tej samej blasze. Brokuł → fasolka/cukinia."
"R08","Indyk mielony z kaszą jaglaną i cukinią (one-pan)","obiad","25","łatwy","3","528","50","12","57","mielony indyk 540 g; kasza jaglana sucha 180 g; cukinia 600 g; marchew 240 g; oliwa 21 g; kurkuma; oregano; sól; imbir 1 cm","Kaszę przepłucz, gotuj w osolonej wodzie 12-15 min (1:2), odcedź | Duża patelnia, oliwa, marchew w kostce 3 min | Dodaj indyka, rozdrabniaj, smaż 6-8 min aż nie będzie różowy | Dodaj cukinię w kostce, przyprawy, imbir, 5 min pod przykryciem | Wymieszaj z kaszą lub podaj obok | 3 pudełka","garnek, duża patelnia z pokrywką","tak","TAK — 3 porcje","Szybkie, jeden garnek + jedna patelnia. Indyk mielony jest miękki i lekkostrawny.","Kasza jaglana → ryż/gryczana. Cukinia → dynia."
"R09","Dorsz pieczony z ziemniakami i fasolką","obiad","35 (aktywnie 10)","łatwy","1","528","46","10","65","dorsz 200 g; ziemniaki 300 g; fasolka szparagowa 200 g (może być mrożona); oliwa 8 g; koperek; sól; kurkuma","Ziemniaki w ćwiartki, oliwa (1/2), sól, kurkuma — na blachę, 200°C, 20 min | Dorsz posól, ułóż na papierze na drugiej połowie blachy (lub w folii), 12-15 min | Fasolka: 5-6 min w osolonej wodzie | Wszystko na talerz, resztą oliwy skrop fasolkę, koperek na rybę","piekarnik, blacha, garnek","tak (najlżejszy obiad w planie)","ziemniaki tak; ryba najlepiej świeża","Najlżejsza kolacja/obiad dla refluksu: chuda ryba, gotowane warzywa, mało tłuszczu.","Dorsz → mintaj/morszczuk. Ziemniaki → bataty."
"R10","Łosoś pieczony z batatami i szpinakiem","obiad","30 (aktywnie 8)","łatwy","1","577","37","23","54","łosoś 150 g; bataty 250 g; szpinak 100 g; oliwa 3 g; sól; tymianek; imbir","Bataty w kostkę 2 cm, oliwa, sól, tymianek — 200°C, 25 min | Łosoś posól, imbir starty na wierzch, piecz na tej samej blasze ostatnie 12-14 min | Szpinak: na patelnię bez tłuszczu 1-2 min aż zwiędnie, sól | Podaj razem","piekarnik, blacha, patelnia","umiar (tłusta ryba — jedz jako obiad, nie późną kolację)","nie","Omega-3 EPA/DHA 2x w tygodniu = przeciwzapalnie, stawy, serce. Bataty = potas i beta-karoten.","Łosoś → pstrąg, makrela (mniejsza porcja). Bataty → ziemniaki."
"R11","Stir-fry z kurczakiem, warzywami i imbirem","obiad","20","średni","1","557","50","10","67","pierś z kurczaka 170 g; ryż suchy 65 g; marchew 80 g; cukinia 100 g; fasolka 70 g; brokuł 100 g (mix może być mrożony 300 g); olej rzepakowy 7 g; imbir 2 cm; sos sojowy jasny 10 ml; sól; sezam odrobina","Ryż gotuj równolegle | Kurczak w paski, posól | Patelnia/wok bardzo gorąca, olej, kurczak 4-5 min aż zrumieniony — odłóż | Warzywa (twardsze najpierw) 4-5 min, mieszając | Wróć kurczak, starty imbir, sos sojowy, 1 min | Podaj na ryżu","patelnia/wok, garnek","tak (bez chili i czosnku)","tak — 2 porcje trzymają dobrze","'Chińszczyzna' bez glutaminianu, cukru i ostrości. Imbir = trawienie. Fajnie i szybko się robi.","Kurczak → tofu 200 g (dociśnięte, w kostce, smażone do chrupkości)."
"R12","Krem z dyni z imbirem, kurczakiem i pestkami","obiad / kolacja","30","łatwy","2","556","48","14","66","dynia 800 g (bez skóry); marchew 200 g; ziemniak 300 g; pierś z kurczaka 300 g; jogurt naturalny 100 g; oliwa 10 g; imbir 3 cm; kurkuma 1 łyżeczka; sól; pestki dyni 20 g; woda ok. 800 ml","Warzywa w kostkę, do garnka z oliwą, 3 min | Zalej wodą do przykrycia, sól, kurkuma, imbir starty — gotuj 20 min do miękkości | Kurczak w tym czasie: pokrój w kostkę, ugotuj w osobnym garnku w osolonej wodzie 10-12 min (lub upiecz) | Zmiksuj zupę blenderem na krem, wmieszaj jogurt (poza ogniem) | Podaj z kurczakiem i pestkami na wierzchu | 2 porcje","garnek, blender","tak (bardzo łagodne)","TAK — 3 dni w lodówce, mrozi się","Ciepły, kremowy, kojący dla żołądka posiłek — a przy tym 48 g białka. Idealna kolacja jesienno-zimowa.","Dynia → marchew+seler+pietruszka. Kurczak → tofu / soczewica (umiar — wzdęcia)."
"R13","Wołowina duszona z kaszą gryczaną i warzywami","obiad","90 (aktywnie 15)","średni","3","561","46","15","60","wołowina chuda (ligawa/udziec) 510 g; kasza gryczana sucha 180 g; marchew 450 g; korzeń pietruszki 240 g; oliwa 15 g; tymianek; liść laurowy 2 szt.; ziele angielskie 3 szt.; sól; woda","Wołowinę w kostce 3 cm posól, obsmaż na oliwie w garnku z grubym dnem partiami (2-3 min na partię) | Wróć całe mięso, zalej wodą do przykrycia, dodaj liść, ziele, tymianek | Duś pod przykryciem na małym ogniu 60-70 min (aż widelec wchodzi bez oporu) | Dodaj marchew i pietruszkę w kostce, jeszcze 15-20 min | Kaszę ugotuj osobno (1:2, 15 min) | 3 porcje","garnek z grubym dnem (lub wolnowar/szybkowar: 35 min)","tak (długo duszone = miękkie, bez cebuli/pomidora)","TAK — 3 porcje, smak lepszy drugiego dnia","Żelazo, kreatyna, B12 z wołowiny. Niedzielny 'comfort food' bez ciężkości. Idealne do wolnowaru.","Wołowina → udziec z indyka. Gryczana → ziemniaki."
"R14","Tortilla z kurczakiem, sosem koperkowym i awokado","obiad / kolacja","10 (z gotowym kurczakiem)","bardzo łatwy","1","463","44","14","40","tortilla pełnoziarnista 1 szt. (60 g); pierś z kurczaka upieczona 150 g (z R07 lub gotowana); sałata 40 g; ogórek 80 g; awokado 40 g; jogurt naturalny 60 g; koperek; sól","Sos: jogurt + posiekany koperek + sól | Tortillę podgrzej 20 s na suchej patelni | Rozłóż sałatę, plastry ogórka, kurczak w paskach, awokado w plastrach, sos | Zwiń ciasno","patelnia (opcjonalnie)","tak","kurczak tak; zwiń tuż przed jedzeniem","Posiłek 'do ręki' z resztek meal prepu. Smakuje jak fast food, działa jak dieta.","Tortilla → 2 kromki żytniego. Awokado → 15 g pestek."
