rutyna,kiedy,czas_calkowity_min,kolejnosc,id_cwiczenia,nazwa,ilosc,cel,uwagi
"Rano — start dnia","po wstaniu, przed śniadaniem","5","1","EX01","Koci grzbiet","8 powt.","rozruszać kręgosłup po nocy","Kręgosłup rano jest 'napompowany' płynem — łagodnie, bez skłonów z ciężarem."
"Rano — start dnia","po wstaniu, przed śniadaniem","5","2","EX02","Przejścia bioder 90/90","5 na stronę","otworzyć biodra","Do granicy komfortu."
"Rano — start dnia","po wstaniu, przed śniadaniem","5","3","EX04","Mostek biodrowy","12 powt., 2 s pauza","'włączyć' pośladki na dzień","Pośladki aktywne rano = mniej kompensacji plecami w ciągu dnia siedzenia."
"Rano — start dnia","po wstaniu, przed śniadaniem","5","4","EX03","Największe rozciąganie świata","3 na stronę","biodra + klatka + plecy","Możesz pominąć w dni treningowe (jest w rozgrzewce)."
"Przerwa biurowa","co 60-90 min pracy siedzącej (timer!)","2","1","-","Wstań i przejdź 20-30 kroków","1x","przerwać siedzenie","Samo wstanie resetuje napięcie zginaczy bioder. Ustaw przypomnienie — bez niego to nie zadziała."
"Przerwa biurowa","co 60-90 min pracy siedzącej (timer!)","2","2","-","Ściskanie pośladków stojąc","10x po 3 s","obudzić pośladki","Stojąc prosto, ściśnij oba pośladki mocno na 3 s, puść. Niewidoczne dla innych."
"Przerwa biurowa","co 60-90 min pracy siedzącej (timer!)","2","3","-","Rozciąganie zginaczy stojąc","20 s na stronę","wydłużyć przód biodra","Stojąc, jedna stopa z tyłu, napnij pośladek tylnej nogi, miednica 'podwinięta', biodro delikatnie w przód. Wersja EX07 na stojąco."
"Przerwa biurowa","co 60-90 min pracy siedzącej (timer!)","2","4","EX13","Ślizgi po ścianie (lub otwarcie klatki)","8 powt.","odgarbić się","Jeśli nie ma ściany: splecione dłonie za głową, łokcie w tył, wdech, 5 s."
"Wieczór — zamiast rolowania","60-90 min przed snem, po ostatnim posiłku (min. 2-3 h)","8-10","1","EX07","Rozciąganie zginaczy bioder w klęku","60 s na stronę","rozluźnić przód biodra — przyczyna spiętych pośladków","Oddychaj przeponą przez cały czas. Prawa strona: możesz dodać 15 s."
"Wieczór — zamiast rolowania","60-90 min przed snem, po ostatnim posiłku (min. 2-3 h)","8-10","2","EX08","Figura 4 leżąc","60 s na stronę","rozluźnić pośladki bezpośrednio","To robi to, co rolowanie, ale w pozycji odciążonej. Jeśli napięcie po prawej większe — 90 s."
"Wieczór — zamiast rolowania","60-90 min przed snem, po ostatnim posiłku (min. 2-3 h)","8-10","3","EX10","Małż","12 na stronę, wolno","lekko zmęczyć pośladkowy średni","Paradoks: mięsień zmęczony lekką pracą rozluźnia się lepiej niż tylko rozciągany. To dlatego po treningu śpi się lepiej."
"Wieczór — zamiast rolowania","60-90 min przed snem, po ostatnim posiłku (min. 2-3 h)","8-10","4","EX04","Mostek biodrowy","10 powt., 3 s pauza, powoli","zakończyć 'w napięciu, potem puść'","Ostatnie powtórzenie: ściśnij mocno 5 s, potem całkowicie puść i poleż 20 s czując różnicę."
"Wieczór — zamiast rolowania","60-90 min przed snem, po ostatnim posiłku (min. 2-3 h)","8-10","5","EX09","Pozycja dziecka z oddechem","8-10 oddechów","przełączyć układ nerwowy na 'odpoczynek'","Wydech dłuższy niż wdech."
"Wieczór — zamiast rolowania","60-90 min przed snem, po ostatnim posiłku (min. 2-3 h)","8-10","6","EX35","Rolowanie pośladków (OPCJONALNIE)","max 60-90 s na stronę","tylko jeśli po krokach 1-5 nadal czujesz potrzebę","Zapisuj w dzienniku (kolumna rolowanie). Cel: po 3-4 tyg. potrzeba spada, po 6-8 tyg. rolowanie sporadyczne. Jeśli nie — sygnał do wizyty u fizjoterapeuty."
"W łóżku — zasypianie","po położeniu się","3-4","1","EX36","Oddech 4-7-8 leżąc","6-8 cykli","zasnąć bez 'walki'","Na lewym boku (refluks: mniejsze cofanie kwasu) lub na plecach z lekko uniesionym wezgłowiem. Skan ciała: po kolei rozluźnij stopy, uda, POŚLADKI, brzuch, barki, szczękę."
"Po posiłku (obiad/kolacja)","10-15 min po jedzeniu","10-15","1","EX34","Spokojny spacer","10-15 min","refluks + cukier we krwi + kroki","Spacer po jedzeniu przyspiesza opróżnianie żołądka (mniej refluksu) i obniża skok cukru. Nie kładź się min. 2-3 h po posiłku."
