id,kategoria,zasada,dlaczego_prosto,jak_wdrozyc,priorytet,zrodlo_lub_konsensus
"Z01","refluks","Ostatni posiłek min. 3 h przed snem","Leżąc z pełnym żołądkiem, kwas cofa się siłą grawitacji. Pusty żołądek = nic nie ma się cofać.","Kolacja 19:00-19:30 przy śnie o 23:00. Jeśli głód wieczorem: R18 (twaróg) do 20:00, potem tylko woda/herbata ziołowa.","1","ACG Clinical Guideline GERD 2022"
"Z02","refluks","Mniejsze porcje, 4-5 posiłków","Duża porcja rozciąga żołądek i podnosi w nim ciśnienie — kwas 'wypychany' jest do góry.","Plan 08 już to ma. Jedz powoli (15-20 min), odkładaj sztućce między kęsami.","1","ACG 2022; konsensus gastroenterologiczny"
"Z03","refluks","Spacer 10-15 min po obiedzie i kolacji","Ruch przyspiesza opróżnianie żołądka + obniża skok cukru + kroki do NEAT. Trzy korzyści z jednego nawyku.","Po posiłku od razu buty i wyjdź. Bez telefonu w ręce — to też przerwa dla głowy.","1","Metaanalizy: aktywność poposiłkowa a glikemia; wytyczne GERD"
"Z04","refluks","Śpij na LEWYM boku lub z uniesionym wezgłowiem 10-15 cm","Anatomia: żołądek leży po lewej; na lewym boku jego ujście do przełyku jest 'nad' poziomem kwasu.","Poduszka klinowa lub podkładka pod nogi łóżka od strony głowy (nie druga poduszka — zgina szyję, nie tułów).","2","ACG 2022; badania pozycyjne (Khoury i wsp.)"
"Z05","refluks","Unikaj: gazowane, kawa na pusty żołądek, czekolada, mięta, alkohol, pomidory, cytrusy, smażone, ostre","Te produkty albo rozluźniają 'zawór' między przełykiem a żołądkiem, albo bezpośrednio drażnią przełyk.","Lista w 06_skladniki (refluks = unikaj). Nie musisz eliminować wszystkiego na zawsze — po 4 tyg. bez objawów testuj pojedynczo.","1","ACG 2022"
"Z06","refluks","Redukcja tłuszczu z brzucha = leczenie refluksu","Tłuszcz trzewny naciska na żołądek od zewnątrz jak zaciśnięty pasek. Każde -5 cm w pasie to realna ulga.","To 'dzieje się samo' przy realizacji planu. Mierz pas co tydzień i notuj refluks — zobaczysz korelację.","1","Metaanalizy: utrata masy ciała a objawy GERD (Ness-Jensen i wsp.)"
"Z07","białko","30-45 g białka w każdym posiłku","Mięśnie budują się w odpowiedzi na porcje białka powyżej pewnego progu. 4 dobre porcje > 1 ogromna.","Każdy posiłek zaczynaj od wyboru białka, dopiero potem reszta.","1","ISSN Position Stand: Protein and Exercise (2017); Schoenfeld & Aragon 2018"
"Z08","białko","Białko przed snem = regeneracja w nocy","Kazeina (twaróg, skyr) trawi się 6-7 h — mięśnie mają 'budulec' przez całą noc.","R18 lub skyr jako ostatni posiłek (3 h przed snem, żeby nie kłócić się z Z01).","3","Res i wsp. 2012; Snijders i wsp. 2015"
"Z09","energia","Węglowodany wokół treningu","Węgle = paliwo do ciężkiej pracy. Trening 'na pusto' w deficycie = słabsze serie = mniejszy bodziec.","Przedtreningowa (R19) 60-90 min przed. Po treningu normalny posiłek z węglami w ciągu 1-2 h.","2","ISSN Nutrient Timing 2017"
"Z10","energia","Nie ma 'okna anabolicznego 30 min'","Mit z lat 90. Efekt białka po treningu trwa 24-48 h. Liczy się suma dnia i rozłożenie na posiłki.","Zjedz spokojnie w ciągu 1-2 h. Szejk (R21) tylko gdy posiłek jest daleko.","3","Schoenfeld, Aragon, Krieger 2013 (metaanaliza)"
"Z11","energia","Węglowodany po 18:00 nie tuczą","Ciało nie ma zegarka na kalorie. Liczy się bilans tygodnia. Węgle wieczorem mogą nawet poprawić sen.","Kolacja z węglami (ziemniaki, ryż) jest w planie celowo.","3","Sofer i wsp. 2011; przegląd Kinsey & Ormsbee 2015"
"Z12","ruch","8000-10000 kroków dziennie","U osoby siedzącej to największy 'niewidzialny' wydatek energii (300-400 kcal różnicy) + zdrowie serca + regeneracja bioder/pleców.","Spacer po posiłkach (Z03) x2 = ~4000 kroków. Reszta: przerwy biurowe, telefon na stojąco/chodząc, schody.","1","Paluch i wsp. 2022 (Lancet, metaanaliza kroków a śmiertelność)"
"Z13","ruch","Wstań z krzesła co 60-90 min","Zginacze bioder skracają się od statycznego siedzenia. 2 minuty ruchu resetują napięcie i miednicę.","Timer w telefonie/zegarku. Rutyna 'Przerwa biurowa' z pliku 05.","1","Konsensus fizjoterapeutyczny; Dunstan i wsp. 2012"
"Z14","trening","Technika > ciężar > liczba serii","Mięsień nie wie ile kg jest na hantlu — wie ile napięcia czuje. Dobra technika z lżejszym ciężarem daje więcej niż szarpanie cięższym.","Nagraj się telefonem raz na 2 tyg. przy RDL i goblet squat. Porównaj z opisem w 03.","1","Schoenfeld 2010 (mechanizmy hipertrofii)"
"Z15","trening","Trenuj do RIR 1-2, nie do upadku","Ostatnie 1-2 powt. 'do upadku' dodają bardzo mało mięśni, a bardzo dużo zmęczenia stawów i głowy. Efekt/koszt spada.","Kończ serię, gdy tempo wyraźnie zwalnia, ale technika jest jeszcze czysta.","2","Refalo i wsp. 2023 (metaanaliza failure vs non-failure)"
"Z16","trening","Ból do 3/10 = zielone światło, wyżej = modyfikuj","Ból nie zawsze znaczy uszkodzenie — układ nerwowy 'alarmuje' na zapas. Ale ostry, narastający ból stawu to sygnał do zmiany, nie do zaciskania zębów.","Skala 0-10 przed każdą serią głównego ćwiczenia w głowie. Modyfikacja: zakres → ciężar → wersja łatwiejsza z 03 → inne ćwiczenie.","1","Model biopsychospołeczny bólu; Smith i wsp. 2017 (BJSM: ćwiczenia z bólem a bez)"
"Z17","trening","Ruch pod obciążeniem jest bezpieczny dla kręgosłupa","Kręgosłup jest zbudowany do dźwigania. Dyski i stawy ADAPTUJĄ się do obciążenia jak mięśnie — mocnieją. Unikanie ruchu osłabia je.","Zaufaj planowi. Zaczynaj lekko, progresuj powoli. Kontrola > lęk.","2","Belavý i wsp. 2017 (dyski biegaczy); Steele i wsp. 2015 (przegląd LBP i trening siłowy)"
"Z18","trening","Deload co 6-8 tygodni","Ścięgna i stawy regenerują się wolniej niż mięśnie. Zaplanowana lżejsza fala zapobiega przeciążeniu i 'zmęczeniu głowy'.","Tydzień 7: serie -50%, ciężar -20%. W pliku 04.","2","NSCA Essentials of Strength Training; Periodyzacja (Issurin)"
"Z19","sen","7-9 h snu, stała pora","Krótki sen: więcej hormonów głodu, mniej mięśni z tego samego treningu (nawet -60% w badaniach), więcej napięcia mięśniowego.","Ta sama godzina kładzenia +/- 30 min. Ekran precz 45 min przed. Rutyna wieczorna z pliku 05 jest też sygnałem 'idzie sen'.","1","Nedeltcheva i wsp. 2010; Dattilo i wsp. 2011"
"Z20","sen","Sen bez rolowania: przyczyna, nie objaw","Rolowanie obniża napięcie na 20-60 min przez układ nerwowy — nie 'rozbija' niczego. Napięcie wraca, bo przyczyna (słabe pośladki, skrócone zginacze, brak sygnału 'odpocznij') zostaje.","Rutyna wieczorna z 05: rozciągnij zginacze → rozluźnij pośladki → lekko je zmęcz → oddech. Rolowanie jako opcja na końcu. Notuj w dzienniku — cel: spadek potrzeby w 3-4 tyg.","1","Wiewelhove i wsp. 2019 (metaanaliza foam rolling); Behm & Wilke 2019"
"Z21","monitoring","Waż się codziennie, patrz na średnią tygodniową","Dzienna waga skacze o 1-2 kg (woda, sól, jelita). Średnia tygodniowa pokazuje prawdę.","Rano po toalecie, przed jedzeniem, w bieliźnie. Wpisuj w 11_dziennik. Średnią liczy arkusz.","1","Konsensus; Helms i wsp. 2014"
"Z22","monitoring","Pas co tydzień, zdjęcia co 4 tygodnie","Przy budowaniu mięśni waga stoi, a ciało się zmienia. Pas i zdjęcia to widzą, waga nie.","Niedziela rano. Taśma na wysokości pępka, bez wciągania.","2","-"
"Z23","monitoring","Koryguj kalorie co 2-3 tygodnie, nie codziennie","Ciało reaguje z opóźnieniem. Zmiana po 3 dniach 'bez efektu' to szum, nie sygnał.","Zasady w 01_profil_i_cele (wiersz kiedy_korygowac_kcal).","2","-"
"Z24","dieta","Zasada 80/20 — nie ma produktów zakazanych","Sztywne diety mają najgorszą 'przeżywalność'. 1 posiłek 'poza planem' tygodniowo to 5% kalorii tygodnia — bez znaczenia dla efektu, duże znaczenie dla wytrwałości.","1 posiłek tygodniowo dowolny (uwaga tylko na refluks — nie 23:00, nie smażone głęboko). Bez 'odrabiania' następnego dnia.","2","Conlin i wsp. 2021 (flexible vs rigid dieting)"
"Z25","dieta","Odmierzaj tłuszcze, resztę szacuj","Oliwa 'na oko' to często 2-3 łyżki zamiast 1 = +200 kcal dziennie niewidoczne. Warzywa i białko można szacować.","Łyżeczka do oliwy, waga do masła orzechowego/orzechów przez pierwsze 3-4 tyg. Potem oko będzie 'skalibrowane'.","2","-"
"Z26","dieta","Woda małymi łykami, nie 0.5 l do posiłku","Duża ilość płynu przy jedzeniu rozciąga żołądek (refluks). Między posiłkami — bez ograniczeń.","Butelka na biurku, łyk co kilka minut. Do posiłku max szklanka.","2","Wytyczne GERD"
"Z27","dieta","Meal prep raz w tygodniu (niedziela, 90-120 min)","Decyzje 'co zjeść' są największym wrogiem diety. Gotowe pudełko = zero decyzji.","R07 + R08 (po 3 porcje) + ugotowana kasza jaglana na 3 dni. Opcjonalnie R13 w wolnowarze.","1","-"
"Z28","mindset","Plan to mapa, nie kontrakt","Gorszy dzień, choroba, wyjazd — normalne. Liczy się średnia z 4 tygodni, nie perfekcja dnia.","Zamiast 'zawaliłem' → 'co zrobię w następnym posiłku/treningu'. Jedno.","1","Psychologia zmiany nawyków (Lally i wsp. 2010: nawyk = ~66 dni)"
"Z29","mindset","Wdrażaj max 2-3 nawyki tygodniowo","Za dużo zmian naraz = przeciążenie i porzucenie wszystkiego. Nawyki nakładają się warstwami.","Tydzień 1: trening 3x + rutyna wieczorna + białko w każdym posiłku. Tydzień 2: kroki + Z01. Tydzień 3: reszta.","1","Fogg (Tiny Habits); Lally i wsp. 2010"
