termin,kategoria,wyjasnienie_prosto,przyklad_lub_analogia,aliasy
"Klęk podparty","pozycje","Pozycja 'na czworakach': kolana na macie dokładnie pod biodrami, dłonie na macie dokładnie pod barkami, plecy płasko jak blat stołu, wzrok w matę (szyja w linii pleców).","Jak dziecko, które bawi się w konika — tylko z prostymi, spokojnymi plecami.","klęk podparty;klęku podpartym;klęk podparty (na czworakach)"
"Podpór przodem (deska)","pozycje","Pozycja jak przed pompką: dłonie (albo łokcie) pod barkami, nogi proste, ciało tworzy jedną prostą linię od głowy do pięt. Brzuch napięty, biodra nie opadają i nie sterczą w górę.","Wyobraź sobie deskę opartą na dłoniach i palcach stóp.","podpór przodem;podporze przodem;podpór na"
"W linii tułowia","pozycje","Ręka lub noga jest przedłużeniem pleców — ani wyżej, ani niżej, jakby leżała na jednej długiej desce razem z tułowiem.","Jak wskazówka zegara przedłużająca prostą linię.","w linii tułowia;linii tułowia;do linii tułowia;linię od głowy do pięt;w linii od głowy do pięt"
"Na szerokość barków / bioder","pozycje","Szerokość barków: stopy mniej więcej tak szeroko jak Twoje ramiona (ok. 40-50 cm). Szerokość bioder: stopy blisko siebie, mniej więcej pod biodrami (ok. 20-30 cm).","Barki = 'normalny' przysiad. Biodra = jakbyś stał w kolejce.","na szerokość barków;na szerokość bioder;szerokość barków;szerokość bioder"
"Ściągnij łopatki","pozycje","Zbliż łopatki do siebie, jakbyś chciał ścisnąć między nimi ołówek. Barki idą w dół i do tyłu, nie do uszu. Klatka delikatnie 'otwiera się'.","Postawa dumnego żołnierza — ale bez napinania szyi.","ściągnij łopatki;łopatki do kręgosłupa;łopatka idzie do kręgosłupa;barki w dół i tył"
"Schowaj żebra / podwiń miednicę","pozycje","Lekko napnij brzuch i skieruj dolne żebra w dół, a kość ogonową 'pod siebie'. Dolne plecy przestają się wyginać w łuk. To mały ruch — kilka centymetrów.","Jakbyś chciał zapiąć za ciasne spodnie: brzuch do środka, miednica lekko do przodu.","schowaj żebra;żebra w dół;podwiń miednicę;podwinięta;lekko 'podwiń' miednicę;'schowaj' żebra;schowana"
"Miednica poziomo","pozycje","Biodra nie przechylają się na żaden bok ani do przodu/tyłu. Wyobraź sobie, że na biodrach stoi szklanka wody — nie może się rozlać.","Jak taca kelnera.","miednica poziomo;biodra poziomo;miednica POZIOMO;biodra POZIOMO;miednica nie przechyla się"
"Łokcie 45 stopni od tułowia","pozycje","Łokcie ani przyklejone do ciała, ani rozłożone szeroko na boki — w połowie drogi, jak wskazówka zegara na 'wpół do'. Najbezpieczniej dla barków.","Skrzydła lekko rozłożone, nie rozpostarte.","45 stopni od tułowia;kątem ok. 45 stopni;ok. 45 stopni od tułowia"
"Przez pięty","pozycje","Ciężar ciała na piętach i całej stopie, palce tylko lekko dotykają. Dzięki temu pracują pośladki i tył uda, a kolana są bezpieczne.","Jakbyś chciał wcisnąć pięty w podłogę.","przez pięty;wciśnij pięty;wciśnij piętę;na przedniej pięcie"
"Seria wprowadzająca","trening","Lekka seria (ok. połowa ciężaru) przed właściwymi seriami. Rozgrzewa ruch, przypomina technikę i sprawdza, jak dziś czuje się staw.","Jak rozgrzewanie silnika przed jazdą.","seria wprowadzająca;serię wprowadzającą"
"Seria","trening","Grupa powtórzeń wykonanych pod rząd, po której jest przerwa.","3 serie x 10 powtórzeń = zrobisz 10 ruchów, odpoczniesz, i tak 3 razy.",""
"Powtórzenie (powt.)","trening","Jeden pełny ruch ćwiczenia — w dół i w górę.","Jeden przysiad = jedno powtórzenie.",""
"RIR (Reps In Reserve)","trening","Ile powtórzeń 'zostawiasz w zapasie' na końcu serii. RIR 2 = kończysz serię czując, że dałbyś radę zrobić jeszcze 2 czyste powtórzenia, ale ich nie robisz.","Jak jazda autem: RIR 2 to tempo 'szybko, ale bezpiecznie'. RIR 0 to maks — robimy to rzadko, bo bardzo męczy stawy i głowę, a mięśnie rosną prawie tak samo.","RIR"
"RPE","trening","Skala odczuwanego wysiłku 1-10. 10 = nie dałbyś rady ani jednego więcej. Odpowiada RIR: RPE 8 = RIR 2.","W dzienniku wpisujesz RPE całej sesji: 7 = solidnie, ale wychodzisz z energią.","RPE"
"Tempo","trening","Jak szybko wykonujesz fazy ruchu. Zapis 2-1-2 = 2 s opuszczanie, 1 s zatrzymanie, 2 s podnoszenie.","Wolniejsze opuszczanie = więcej kontroli, bezpieczniej dla stawów, lepszy bodziec.","tempo"
"Progresja","trening","Zasada stopniowego zwiększania trudności, żeby mięśnie miały powód rosnąć.","Ta sama waga i te same powtórzenia przez 3 miesiące = ciało nie ma powodu się zmieniać.","progresja;progresji"
"Podwójna progresja","trening","Najpierw dokładasz powtórzenia w zadanym zakresie (np. 8→12), a gdy zrobisz górę zakresu we wszystkich seriach z RIR 2 — podnosisz ciężar i wracasz do dołu zakresu.","Tydzień 1: 10 kg x 8. Tydzień 4: 10 kg x 12. Tydzień 5: 12 kg x 8.","podwójna progresja;podwójnej progresji"
"Hipertrofia","trening","Wzrost mięśni. Główny sygnał to napięcie mechaniczne — mięsień pracujący ciężko blisko zmęczenia.","Nie chodzi o 'pieczenie' ani ból następnego dnia — chodzi o ciężką pracę z kontrolą.","hipertrofia;hipertrofii;hipertroficzny"
"Deficyt kaloryczny","dieta","Jesz mniej energii niż spalasz — ciało dobiera brakującą z zapasów (tłuszczu).","Konto bankowe: wydajesz 2600, wpłacasz 2150 — różnica schodzi z 'oszczędności' czyli tkanki tłuszczowej.","deficyt kaloryczny;deficyt;deficycie;deficytu"
"Rekompozycja","dieta","Jednoczesna utrata tłuszczu i budowa mięśni. Realna u osób z zapasem tłuszczu, początkujących w treningu siłowym i jedzących dużo białka — czyli u Ciebie.","Waga może stać w miejscu, a spodnie robią się luźne i ramiona większe.","rekompozycja;rekompozycji"
"BMR","dieta","Podstawowa przemiana materii — ile spalasz leżąc bez ruchu przez 24 h.","Koszt 'utrzymania światła w budynku' — bije serce, pracuje mózg, oddychasz.","BMR"
"TDEE","dieta","Całkowity dzienny wydatek energii = BMR + ruch codzienny (NEAT) + trening + trawienie (TEF).","Twoje pełne 'spalanie' w typowym dniu. Punkt odniesienia dla deficytu.","TDEE"
"NEAT","dieta","Energia spalana na wszystko poza treningiem: chodzenie, stanie, gestykulacja, sprzątanie.","Różnica między dniem z 3 tys. a 10 tys. kroków to nawet 300-400 kcal — więcej niż niejeden trening.","NEAT"
"TEF","dieta","Energia zużywana na trawienie jedzenia. Białko ma najwyższy (20-30% jego kalorii idzie na trawienie).","Zjadając 100 kcal z białka 'netto' dostajesz ok. 75 kcal.","TEF"
"Makroskładniki (makro)","dieta","Białko, tłuszcz, węglowodany. Białko i węgle: 4 kcal/g, tłuszcz: 9 kcal/g.","","makro;makroskładniki"
"Próg leucynowy","dieta","Minimalna dawka białka w posiłku (ok. 2.5-3 g leucyny = ~30-40 g dobrego białka), która włącza pełny sygnał budowy mięśni.","Dlatego posiłki mają 30-45 g białka, a nie 10 g rozsiane po dniu.","próg leucynowy;progu leucynowego"
"Gęstość odżywcza","dieta","Ile witamin, minerałów i białka dostajesz na 1 kalorię.","Brokuł i pierś z kurczaka: wysoka. Chipsy: niska. Zasada 80/20: 80% wysokiej gęstości, 20% przyjemność.","gęstość odżywcza;gęstości odżywczej"
"Elastyczna dieta (80/20)","dieta","Nie ma produktów 'zakazanych' — są rzadsze. 80% posiłków wg planu, 20% to miejsce na życie.","Jedno wyjście do restauracji tygodniowo nie psuje niczego, jeśli reszta tygodnia jest ok.","80/20"
"Meal prep","dieta","Gotowanie kilku porcji naraz (np. w niedzielę na 3 dni).","2 godziny w niedzielę = 6-8 gotowych obiadów. Mniej myślenia w tygodniu.","meal prep;meal prepu"
"Refluks (GERD)","zdrowie","Cofanie się kwasu z żołądka do przełyku. Nasilają: duże/tłuste/kwaśne posiłki, gazowane napoje, leżenie po jedzeniu, nadwaga brzuszna, kawa, czekolada, mięta, alkohol.","Sama utrata tłuszczu z brzucha obniża ciśnienie na żołądek i u wielu osób wyraźnie zmniejsza refluks.","GERD"
"Zwieracz przełyku","zdrowie","Mięśniowy 'zawór' między przełykiem a żołądkiem. Gdy się rozluźnia (kawa, mięta, czekolada, alkohol, tłuste jedzenie), kwas cofa się do góry.","Jak klapka w rurze — ma puszczać tylko w jedną stronę.","zwieracz przełyku;zwieracza przełyku"
"DOMS","zdrowie","Opóźniona bolesność mięśni 1-3 dni po treningu. Normalna, niegroźna, z czasem prawie znika.","Ból 'rozlany', tępy, w mięśniu = DOMS (ok). Ból ostry, punktowy, w stawie, promieniujący = sygnał stop/modyfikuj.","DOMS"
"Mobilność","trening","Zakres ruchu w stawie, który KONTROLUJESZ siłą (a nie tylko dasz się biernie rozciągnąć).","Rozciąganie to połowa. Druga połowa to wzmocnienie w nowym zakresie — dlatego łączymy rozciąganie zginaczy z mostkami.","mobilność;mobilności"
"Core","trening","Mięśnie tułowia stabilizujące kręgosłup: brzuch (prosty, poprzeczny, skośne), dolne plecy, przepona, dno miednicy.","Gorset, który trzyma kręgosłup stabilnie gdy podnosisz ciężar.","core"
"Bracing (usztywnienie)","trening","Napięcie brzucha 'jak przed uderzeniem' + spokojny oddech przed ruchem z ciężarem.","Chroni kręgosłup. Robisz to przy RDL, przysiadach, przenoszeniu ciężaru.","bracing;usztywnienie;napnij brzuch"
"Neutralny kręgosłup","trening","Naturalna, lekko wygięta pozycja plecy — bez zaokrąglania i bez przesadnego wypychania klatki.","Wyobraź sobie, że na plecach masz kij od szczotki od głowy do miednicy.","neutralny kręgosłup;plecy proste;proste plecy;plecy zostają proste;neutralnie"
"Hip hinge (zawias biodrowy)","trening","Skłon, w którym ruch idzie z bioder (pośladki do tyłu), a plecy zostają proste.","Zamykanie drzwi samochodu pupą, gdy masz zajęte ręce.","hip hinge;zawias biodrowy;pchnij biodra do tyłu;pchnij biodra w tył;pchnij biodro w tył"
