kategoria,parametr,wartosc,jednostka,jak_obliczono_lub_zrodlo,co_to_znaczy_prosto
"Dane","plec","M","","podane",""
"Dane","wiek","30","lata","podane",""
"Dane","wzrost","181","cm","podane",""
"Dane","waga_start","83","kg","podane (data startu: 2026-09-19)","Waż się rano, po toalecie, przed jedzeniem — zawsze tak samo."
"Dane","BMI","25.3","kg/m2","83 / 1.81^2","Górna granica normy. BMI nie odróżnia tłuszczu od mięśni — dużo ważniejszy jest obwód pasa."
"Dane","tryb_pracy","siedzący","","podane","Główny powód spiętych pośladków i skróconych zginaczy bioder — dlatego w planie są przerwy biurowe."
"Zdrowie","ograniczenia","prawe biodro; kręgosłup; spięte pośladki; refluks","","podane","Plan omija ruchy najbardziej drażniące (głębokie skłony z ciężarem bez rozgrzewki, leżenie po jedzeniu, tłuste/kwaśne posiłki)."
"Energia","BMR","1815","kcal/dzień","Mifflin-St Jeor: 10*83 + 6.25*181 - 5*30 + 5","Ile spalasz leżąc cały dzień bez ruchu — samo utrzymanie ciała przy życiu."
"Energia","TDEE_szacowany","2600","kcal/dzień","BMR x 1.43 (praca siedząca + 3 treningi/tyg + 8-10 tys. kroków)","Ile realnie spalasz w typowy dzień. To SZACUNEK — prawdę pokaże waga po 2-3 tygodniach."
"Energia","cel_kcal","2150","kcal/dzień","TDEE - ~450 kcal (deficyt ~17%)","Deficyt na tyle mały, że da się budować mięśnie i mieć energię, a na tyle duży, że tłuszcz schodzi. Katowanie się głodem = utrata mięśni."
"Makro","bialko","170","g/dzień","~2.0 g/kg (ISSN: 1.6-2.2 g/kg podczas redukcji z treningiem siłowym)","Najważniejszy makroskładnik dla Twojego celu: chroni mięśnie w deficycie, najbardziej syci i podnosi wydatek energetyczny na trawienie."
"Makro","tluszcz","70","g/dzień","~0.85 g/kg (nie schodź poniżej ~0.6 g/kg — hormony, witaminy A/D/E/K)","Umiarkowanie i rozłożone na posiłki — duża porcja tłuszczu naraz spowalnia opróżnianie żołądka i nasila refluks."
"Makro","weglowodany","210","g/dzień","(2150 - 170*4 - 70*9) / 4","Paliwo na trening i mózg. Nie tuczą 'same z siebie' i nie ma znaczenia czy zjesz je po 18:00 — liczy się bilans dnia."
"Makro","blonnik","25-35","g/dzień","EFSA / WHO","Sytość, jelita, mikrobiom. Z warzyw, owoców, kasz, pieczywa żytniego."
"Makro","bialko_na_posilek","30-45","g","4-5 posiłków; min. ~0.4 g/kg na posiłek (próg leucynowy)","Każdy posiłek ma dać mięśniom wyraźny sygnał 'buduj'. Jeden ogromny posiłek białkowy działa gorzej niż 4 średnie."
"Makro","posilki_dziennie","4-5","","refluks + sytość","Mniejsze porcje = mniej ciśnienia w żołądku = mniej cofania kwasu. Plus stabilna energia bez 'zjazdów'."
"Cel","tempo_utraty_wagi","0.3-0.5","kg/tydzień","0.4-0.6% masy ciała/tydz. (Helms i wsp.)","Wolniej = więcej zachowanych mięśni. Patrz na średnią tygodniową — dzienna waga skacze o 1-2 kg od wody i jedzenia w jelitach."
"Cel","obwod_pasa_etap_1","<94","cm","WHO: >94 cm u mężczyzn = podwyższone ryzyko metaboliczne","Mierz rano na wysokości pępka, raz w tygodniu. Lepszy wskaźnik postępu niż waga przy budowaniu mięśni."
"Cel","obwod_pasa_etap_2","<90","cm","","Cel długoterminowy."
"Cel","waga_orientacyjna_po_12_tyg","77-79","kg","83 - (12 * 0.35-0.5)","Orientacyjnie. Jeśli mięśnie rosną, waga spada wolniej, a wygląd zmienia się szybciej — dlatego mierzymy pas i robimy zdjęcia."
"Cel","kroki","8000-10000","/dzień","NEAT — spontaniczna aktywność poza treningiem","U osób siedzących to największa 'dźwignia' spalania, większa niż sam trening. Spacer po posiłku dodatkowo pomaga na refluks i cukier."
"Cel","sen","7-9","h","konsensus (AASM, NSF)","Poniżej 6-7 h: więcej głodu, mniej mięśni z tego samego treningu, gorsza regeneracja. Dla Ciebie: mniej spięć mięśniowych."
"Cel","woda","2.5-3","l/dzień","","Małymi łykami między posiłkami, nie dużo naraz przy jedzeniu (refluks)."
"Cel","treningi_silowe","3","/tydzień","45-55 min z rozgrzewką","Optymalny stosunek efektu do zmęczenia dla osoby początkującej/średnio zaawansowanej. Więcej nie znaczy lepiej."
"Cel","mobilnosc_codziennie","5 + 8-10","min","rano + wieczór","Zamiast rolowania: wzmacnianie pośladków + rozciąganie zginaczy bioder + oddech. To leczy przyczynę, rolowanie tylko objaw."
"Cel","ostatni_posilek","min. 3","h przed snem","wytyczne GERD (ACG)","Pełny żołądek + pozycja leżąca = cofanie kwasu. Kolacja do ~19:30-20:00 jeśli śpisz o 23:00."
"Kontrola","kiedy_korygowac_kcal","co 2-3 tygodnie","","","Średnia waga tygodniowa nie spada 2 tyg. z rzędu: -100 do -150 kcal (z węgli lub tłuszczu, NIE z białka). Spada >0.7 kg/tydz i brak energii/siły: +100 kcal."
"Kontrola","deload","co 6-8 tygodni","","","Tydzień lżejszy: te same ćwiczenia, połowa serii, ciężar -20%. Stawy i układ nerwowy odpoczywają, siła wraca większa."
"Kontrola","zdjecia_postepu","co 4 tygodnie","","","Przód/bok/tył, to samo światło i pora. Lustro codziennie oszukuje, zdjęcia co miesiąc nie."
"Uwaga","konsultacja_zalecana","fizjoterapeuta (biodro, kręgosłup); lekarz rodzinny (refluks)","","","Plan jest zaprojektowany bezpiecznie, ale jednorazowa diagnoza biodra pozwoli go precyzyjnie dostroić. Refluks trwający >8 tyg. mimo zmian diety wymaga wizyty."
