tydzien,kategoria,produkt,ilosc,jednostka,id_skladnika,uzycie_w_przepisach,uwagi_zakupowe
"zapas","Tłuszcze","Oliwa z oliwek extra virgin","1","butelka","ING47","większość obiadów","Starcza na 4-6 tygodni."
"zapas","Tłuszcze","Olej rzepakowy","1","butelka","ING48","stir-fry",""
"zapas","Tłuszcze","Masło orzechowe 100% (opcjonalnie)","1","słoik","ING52","wafle, szejki","Skład: tylko orzechy."
"zapas","Przyprawy","Sól, kurkuma, tymianek, oregano, cynamon, liść laurowy","-","-","ING44 / ING46","wszystkie przepisy","Raz na kilka miesięcy."
"zapas","Przyprawy","Sos sojowy jasny","1","butelka","ING45","stir-fry",""
"zapas","Napoje","Herbata rumiankowa / z kopru włoskiego / imbirowa","1","opak.","ING58","wieczorem","Zamiast kawy po południu."
"zapas","Suplementy","Kreatyna monohydrat","0.5","kg","S01","codziennie 3-5 g","Na 3-4 miesiące. Najtańsza forma = monohydrat."
"zapas","Suplementy","Witamina D3 2000 IU","1","opak.","S02","codziennie z obiadem",""
"zapas","Sprzęt","Waga kuchenna, 4-6 pudełek na meal prep, taśma krawiecka","-","-","-","-","Kupujesz raz. Największy zwrot z inwestycji."
"zapas","Sprzęt (opcjonalnie)","Poduszka klinowa (refluks), poduszka pod kolano","-","-","-","Z04, EX07",""
